id;expression;categorie
1;à l’aise;1
2;absorbé;1
3;adouci;1
4;affermi;1
5;aimant;1
6;alerte;1
7;allégé;1
8;amadoué;1
9;apaisé;1
10;apitoyé;1
11;assouvi;1
12;attendri;1
13;attentif;1
14;bien disposé;1
15;calme;1
16;centré;1
17;comblé;1
18;compatissant;1
19;compréhensif;1
20;concentré;1
21;concerné;1
22;conciliant;1
23;confiant;1
24;confortable;1
25;conforté;1
26;consolé;1
27;consolidé;1
28;cool;1
29;d’humeur amicale;1
30;d’humeur insouciante;1
31;dans l’indicible;1
32;dans l’unité;1
33;dans la plénitude;1
34;déchargé;1
35;décontracté;1
36;décrispé;1
37;délassé;1
38;délesté;1
39;délivré;1
40;détaché;1
41;détendu;1
42;déterminé;1
43;disponible;1
44;dispos;1
45;dubitatif;1
46;égal;1
47;empli de bienveillance;1
48;empli de tendresse;1
49;empressé;1
50;en confiance;1
51;en harmonie avec;1
52;en paix;1
53;encouragé;1
54;épanoui;1
55;équilibré;1
56;éveillé;1
57;flegmatique;1
58;fortifié;1
59;gavé;1
60;gonflé à bloc;1
61;impassible;1
62;impavide;1
63;imperturbable;1
64;impliqué;1
65;incrédule;1
66;inébranlable;1
67;insouciant;1
68;inspiré;1
69;intéressé;1
70;léger;1
71;libéré;1
72;libre;1
73;miséricordieux;1
74;mobilisé;1
75;nonchalant;1
76;nourri;1
77;ouvert;1
78;paisible;1
79;peinard;1
80;placide;1
81;plein;1
82;plein d’affection;1
83;plein d’amour;1
84;plein d’application;1
85;plein d’aplomb;1
86;plein d’appréciation;1
87;plein d’assurance;1
88;plein d’empathie;1
89;plein d’énergie;1
90;plein d’équanimité;1
91;plein d’inclination;1
92;plein de bénignité;1
93;plein de chaleur;1
94;plein de commisération;1
95;plein de compassion;1
96;plein de douceur;1
97;plein de gratitude;1
98;plein de mansuétude;1
99;plein d’opiniâtreté;1
100;plein de persévérance;1
101;plein de pitié;1
102;plein de prévenance;1
103;plein de quiétude;1
104;plein de révérence;1
105;plein de sympathie;1
106;plein de tendresse;1
107;pondéré;1
108;posé;1
109;présent;1
110;proche;1
111;quiet;1
112;radouci;1
113;raffermi;1
114;rafraîchi;1
115;ragaillardi;1
116;rassasié;1
117;rasséréné;1
118;rassuré;1
119;réchauffer le coeur;1
120;réconforté;1
121;reconnaissant;1
122;récréé;1
123;régénéré;1
124;regonflé;1
125;relâché;1
126;relax;1
127;relaxé;1
128;relié;1
129;remonté;1
130;renforcé;1
131;reprendre haleine;1
132;repu;1
133;renforcé;1
134;résolu;1
135;rester de marbre;1
136;revigoré;1
137;satisfait;1
138;sceptique;1
139;sécurisé;1
140;sensibilisé;1
141;sensible;1
142;serein;1
143;soulagé;1
144;stable;1
145;stimulé;1
146;stoïque;1
147;sûr de soi;1
148;tenir au coeur;1
149;tranquille;1
150;vacant;1
151;zen;1
152;abasourdi;2
153;agité;2
154;ahuri;2
155;assommé;2
156;avoir le souffle coupé;2
157;blindé;2
158;bluffé;2
159;chancelant;2
160;choqué;2
161;confondu;2
162;confus;2
163;débordé;2
164;déboussolé;2
165;déconcerté;2
166;décontenancé;2
167;dépaysé;2
168;dérangé;2
169;dérouté;2
170;désarçonné;2
171;désemparé;2
172;désorienté;2
173;déstabilisé;2
174;distrait;2
175;ébahi;2
176;éberlué;2
177;effaré;2
178;égaré;2
179;embarrassé;2
180;embrouillé;2
181;emmêlé;2
182;émotionné;2
183;ému;2
184;en boucher un coin;2
185;en plein désarroi;2
186;en rester comme deux;2
187;ronds;2
188;de flan;2
189;en suspens;2
190;engourdi;2
191;épaté;2
192;estomaqué;2
193;étonné;2
194;étourdi;2
195;figé;2
196;foudroyé;2
197;frappé;2
198;frappé de stupeur;2
199;hébété;2
200;hésitant;2
201;impressionné;2
202;incommodé;2
203;indécis;2
204;interdit;2
205;interloqué;2
206;interpellé;2
207;intrigué;2
208;irrésolu;2
209;médusé;2
210;ne pas savoir sur quel;2
211;pied danser;2
212;pantois;2
213;perplexe;2
214;pétrifié;2
215;plombé;2
216;pris au dépourvu;2
217;pris de court;2
218;prostré;2
219;renversé;2
220;rester bouche bée;2
221;retourné;2
222;saisi;2
223;saturé;2
224;scotché;2
225;secoué;2
226;sidéré;2
227;soufflé;2
228;stupéfait;2
229;suffoqué;2
230;surpris;2
231;titubant;2
232;tomber des nues;2
233;touché;2
234;troublé;2
235;vacillant;2
236;vide;2
237;à la noce;3
238;admiratif;3
239;allègre;3
240;aller au coeur;3
241;altier;3
242;amoureux;3
243;amour;3
244;amusé;3
245;animé;3
246;ardent;3
247;attiré;3
248;aux anges;3
249;au septième ciel;3
250;béat;3
251;bienheureux;3
252;bouillonnant;3
253;bouleversé;3
254;captivé;3
255;charmé;3
256;comblé;3
257;content;3
258;curieux;3
259;d’humeur allègre;3
260;d’humeur aventureuse;3
261;d’humeur câline;3
262;d’humeur badine;3
263;d’humeur enjouée;3
264;d’humeur espiègle;3
265;d’humeur expansive;3
266;d’humeur exubérante;3
267;d’humeur folâtre;3
268;d’humeur guillerette;3
269;d’humeur jubilatoire;3
270;d’humeur pétillante;3
271;d’humeur rieuse;3
272;d’humeur voluptueuse;3
273;dans l’indicible;3
274;dans l’unité;3
275;dans la béatitude;3
276;de bonne humeur;3
277;déridé;3
278;diverti;3
279;ébloui;3
280;égayé;3
281;électrisé;3
282;emballé;3
283;embrasé;3
284;émerveillé;3
285;émoustillé;3
286;empressé;3
287;ému;3
288;en effervescence;3
289;en expansion;3
290;en extase;3
291;en liesse;3
292;en pleine forme;3
293;enchanté;3
294;énergétisé;3
295;enflammé;3
296;engoué;3
297;enivré;3
298;enjoué;3
299;enlevé;3
300;ensorcelé;3
301;enthousiaste;3
302;envoûté;3
303;épanoui;3
304;épaté;3
305;éperdu;3
306;éperonné;3
307;épris;3
308;euphorique;3
309;exalté;3
310;excité;3
311;extatique;3
312;exultant;3
313;fasciné;3
314;fier;3
315;fou de joie;3
316;frémissant;3
317;frétillant;3
318;gai;3
319;galvanisé;3
320;grisé;3
321;guilleret;3
322;heureux;3
323;hilare;3
324;intrigué;3
325;joyeux;3
326;jubilant;3
327;nourri;3
328;optimiste;3
329;passionné;3
330;pétilant;3
331;pétulant;3
332;plein;3
333;plein d’acharnement;3
334;plein d’amour;3
335;plein d’ardeur;3
336;plein d’effervescence;3
337;plein d’élan;3
338;plein d’émoi;3
339;plein d’entrain;3
340;plein d’espoir;3
341;plein d’hardiesse;3
342;plein de courage;3
343;plein d’énergie;3
344;plein de félicité;3
345;plein de ferveur;3
346;plein de feu;3
347;plein de fièvre;3
348;plein de fougue;3
349;plein de gratitude;3
350;plein de hâte;3
351;plein de liesse;3
352;plein de pétulance;3
353;plein de ténacité;3
354;plein de vénération;3
355;plein de vertige;3
356;plein de vie;3
357;plein de vivacité;3
358;plein de zèle;3
359;prendre feu;3
360;radieux;3
361;ravi;3
362;ravigoté;3
363;rayonnant;3
364;réjoui;3
365;remonté;3
366;rempli de bonheur;3
367;riant;3
368;satisfait;3
369;se fendre la gueule;3
370;séduit;3
371;stimulé;3
372;submergé de joie;3
373;surexcité;3
374;survolté;3
375;tenté;3
376;titillé;3
377;tonifié;3
378;touché;3
379;transi;3
380;transporté;3
381;troublé;3
382;vibrant;3
383;vif;3
384;vivant;3
385;vivifié;3
386;à bout;4
