id;expression;categorie
1;Secret;1
2;Confidential;1
3;Controversial;1
4;Underground;1
5;What no one tells you;1
6;Have you heard;1
7;Cover-up;1
8;Forbidden;1
9;Banned;1
10;Behind the Scenes;1
11;Secret agenda;1
12;Secret plot;1
13;Insider;1
14;Off-the record;1
15;Blacklisted;1
16;Censored;1
17;Concealed;1
18;Confessions;1
19;Unbelievable;1
20;Covert;1
21;No one talks about;1
22;Hidden;1
23;underground;1
24;Insiderӳ Scoop;1
25;Intel;1
26;Magical;2
27;Instantly;2
28;Missing Out;2
29;Left behind;2
30;Magnificent;2
31;Miracle;2
32;Most Important;2
33;Profitable;2
34;Proven;2
35;Quick;2
36;Remarkable;2
37;Results;2
38;Revolutionary;2
39;Safe;2
40;Save;2
41;Sensational;2
42;Should;2
43;Startling;2
44;Strongly agree/ recommend;2
45;Strongly suggest;2
46;Superb;2
47;Superior;2
48;Tremendous;2
49;Truly;2
50;Trustworthy;2
51;Urge;2
52;Worthwhile;2
53;Deadline;2
54;Limited;2
55;Seize;2
56;bargain;2
57;Discount;2
58;Explode;2
59;Extra;2
60;Fortune;2
61;Freebie;2
62;Jackpot;2
63;Reduced;2
64;Instant Savings;2
65;Skyrocket;2
66;Immediately;2
67;Imminently;2
68;doubtful;3
69;uncertain;3
70;indecisive;3
71;perplexed;3
72;embarrassed;3
73;hesitant;3
74;disillusioned;3
75;distrustful;3
76;misgiving;3
77;unsure;3
78;tense;3
79;stressed;3
80;uncomfortable;3
81;dishonest;3
82;disdainful;3
83;manipulative;3
84;judgmental;3
85;argumentative;3
86;authoritative;3
87;condescending;3
88;distracted;3
89;disoriented;3
90;off-kilter;3
91;frenzied;3
92;blushing;3
93;awkward;3
94;incapable;3
95;paralyzed;3
96;fatigued;3
97;inferior;3
98;vulnerable;3
99;distressed;3
100;pathetic;3
101;distraught;3
102;doomed;3
103;overwhelmed;3
104;incompetent;3
105;incapacitated;3
106;trapped;3
107;squirming;3
108;jittery;3
109;woozy;3
110;twitching;3
111;compulsive;3
112;uncaring;3
113;uninterested;3
114;unresponsive;3
115;terrified;3
116;suspicious;3
117;anxious;3
118;alarmed;3
119;panicked;3
120;threatened;3
121;cowardly;3
122;insecure;3
123;Deceived ;3
124;Helplessness;3
125;Disempowered;3
126;Ordeal;4
127;Outrageousness;4
128;Provoke;4
129;Repulsive;4
130;Scandal;4
131;Severe;4
132;Shameful;4
133;Shocking;4
134;Terrible;4
135;Tragic;4
136;Unreliable;4
137;Unstable;4
138;Wicked;4
139;Aggravate;4
140;Agony;4
141;Appalled;4
142;Atrocious;4
143;Corrupting;4
144;Damaging;4
145;Deplorable;4
146;Disadvantages;4
147;Disastrous;4
148;Disgusted;4
149;Dreadful;4
150;Eliminate;4
151;Harmful;4
152;Harsh;4
153;Inconsiderate;4
154;enraged;4
155;offensive;4
156;aggressive;4
157;frustrated;4
158;controlling;4
159;resentful;4
160;malicious;4
161;infuriated;4
162;critical;4
163;violent;4
164;vindictive;4
165;sadistic;4
166;spiteful;4
167;furious;4
168;agitated;4
169;antagonistic;4
170;repulsed;4
171;quarrelsome;4
172;venomous;4
173;rebellious;4
174;exasperated;4
175;impatient;4
176;contrary;4
177;condemning;4
178;seething;4
179;scornful;4
180;sarcastic;4
181;poisonous;4
182;jealous;4
183;ticked off;4
184;revengeful;4
185;retaliating;4
186;reprimanding;4
187;powerless;4
188;despicable;4
189;self-hating;4
190;desperate;4
191;alienated;4
192;pessimistic;4
193;dejected;4
194;vilified;4
195;unjustified;4
196;violated;4
197;Accurate;5
198;instantly;5
199;Advantage;5
200;Always;5
201;A cut above;5
202;Bargain;5
203;Certain;5
204;Certainly;5
205;Confident;5
206;Convenient;5
207;Definitely;5
208;Delighted;5
209;Easy;5
210;Ecstatic;5
211;Effective;5
212;Emphasize;5
213;Extremely;5
214;Freedom;5
215;Guaranteed;5
216;Highly effective/ likely;5
217;Introducing;5
218;First ever;5
219;Investment;5
220;conscientious;5
221;approving;5
222;honored;5
223;privileged;5
224;adaptable;5
225;relaxed;5
226;Astonishing;5
227;Astounded;5
228;assured;5
229;fulfilled;5
230;genuine;5
231;authentic;5
232;self-sufficient;5
233;reliable;5
234;sure;5
235;secure;5
236;stable;5
237;honest;5
238;truthful;5
239;supportive;5
240;excellent;5
241;responsible;5
242;solid;5
243;trusting;5
244;supported;5
245;Absolutely;5
246;Bargain;5
247;clarity;5
248;transparency;5
249;humility;5
250;blissful;6
251;joyous;6
252;delighted;6
253;overjoyed;6
254;gleeful;6
255;thankful;6
256;festive;6
257;ecstatic;6
258;satisfied;6
259;cheerful;6
260;sunny;6
261;elated;6
262;jubilant;6
263;jovial;6
264;fun-loving;6
265;lighthearted;6
266;glorious;6
267;innocent;6
268;child-like;6
269;gratified;6
270;euphoric;6
271;on top of the;6
272;world;6
273;playful;6
274;courageous;6
275;energetic;6
276;liberated;6
277;optimistic;6
278;frisky;6
279;animated;6
280;spirited;6
281;thrilled;6
282;wonderful;6
283;funny;6
284;intelligent;6
285;exhilarated;6
286;spunky;6
287;youthful;6
288;vigorous;6
289;tickled;6
290;creative;6
291;constructive;6
292;helpful;6
293;resourceful;6
294;at ease;6
295;comfortable;6
296;pleased;6
297;encouraged;6
298;surprised;6
299;content;6
300;serene;6
301;bright;6
302;blessed;6
303;Vibrant;6
304;Bountiful;6
305;Glowing;6
306;motivated;7
307;eager;7
308;keen;7
309;earnest;7
310;inspired;7
311;enthusiastic;7
312;bold;7
313;brave;7
314;daring;7
315;hopeful;7
316;upbeat;7
317;assured;7
318;clear;7
319;balanced;7
320;fine;7
321;okay;7
322;grateful;7
323;carefree;7
324;adequate;7
325;fulfilled;7
326;genuine;7
327;authentic;7
328;forgiving;7
329;sincere;7
330;uplifted;7
331;unburdened;7
332;confident;7
333;self-sufficient;7
334;reliable;7
335;sure;7
336;unique;7
337;dynamic;7
338;tenacious;7
339;cooperative;7
340;productive;7
341;exuberant;7
342;in the zone;7
343;responsive;7
344;conscientious;7
345;approving;7
346;honored;7
347;privileged;7
348;adaptable;7
349;Empowered;7
350;Focused;7
351;Capable;7
352;calm;8
353;at ease;8
354;comfortable;8
355;content;8
356;quiet;8
357;certain;8
358;relaxed;8
359;serene;8
360;bright;8
361;blessed;8
362;balanced;8
363;grateful;8
364;carefree;8
365;fulfilled;8
366;genuine;8
367;authentic;8
368;forgiving;8
369;sincere;8
370;uplifted;8
371;unburdened;8
372;confident;8
373;self-sufficient;8
374;glowing;8
375;radiant;8
376;beaming;8
377;reflective;8
378;smiling;8
379;grounded;8
380;unhurried;8
381;open-minded;8
382;efficient;8
383;non-controlling;8
384;unassuming;8
385;trusting;8
386;supported;8
387;fluid;8
388;light;8
389;spontaneous;8
390;aware;8
391;healthy;8
392;meditative;8
393;still;8
394;rested;8
395;waiting;8
396;laughing;8
397;graceful;8
398;natural;8
399;steady;8
400;centered;8
401;placid;8
402;Clear;8
403;Stoic;8
404;Aligned;8
